FStech & BioScan 
qua., 7 de mai. de 2025

0:43 - felipe silva Fala aí, Marcelo. Boa tarde. Fala aí.
32:36 - AP É porque, pensa assim, o que a gente está desenvolvendo agora é como se fosse o motor do que a gente precisa, sendo que por cima tem toda uma parte de projeto como se fosse funcional, que vai entrar aí questão de arquitetura, um próprio desenvolvimento de aplicativos, se vai rodar o web, se vai... Vai ser um app ou também pode rodar.

32:57 - felipe silva É legal pensar nos seguintes termos. Quando a gente fala de um MVP, a gente tá falando do quê? Pensa no seguinte. Eu tenho uma visão final daquilo que eu quero. Eu quero uma Ferrari. Eu quero uma Ferrari. Essa é a minha visão final do projeto, onde eu quero chegar. O que é o MVP? É um Fiat Uno.

33:20 - AP Isso, sim. Perfeito. Exatamente. É isso que eu tô falando. Pro MVP, cara, tá show de bola, tá perfeito. Aí a minha pergunta é já, é por isso que eu perguntei, você desenvolve app? Desenvolvo. Aí num segundo passo, a gente quer dar, talvez possamos dar esse passo juntos.

33:36 - felipe silva Eu só não vou conseguir dizer pra você agora, 100%, qual seria uma proposta de valor de custo pra uma aplicação, pra um app, porque tá muito lá na frente ainda, entendeu? Eu vou ter que dispor de muito mais tempo, de muito mais análise, inclusive exigir até mais do tempo de vocês para ver exatamente a maneira como que vocês vão querer esse app funcionando. Esse passo do MVP ele é fundamental até para vocês poderem ter uma visão mais clara de como vai ser esse produto final, entendeu? Baseado no funcionamento desse MVP. Posso fazer uma pergunta interessante?

34:12 - Marcelo Nissenbaum Pode, queridão.

34:13 - Marcelo Nissenbaum Enquanto ele não vai para o mercado de MVP, eu entendo que a LLM Ela é muito boa, mas ela não é perfeita nesse sentido. Então, eu acho que vai ter um pouco de migração de tecnologias para a gente fazer a leitura desse PDF, ou não.

34:34 - AP Não, acho que não, Marcelo. Eu também acho que não.

34:39 - Marcelo Nissenbaum Para leitura de PDF, não.

34:41 - Marcelo Nissenbaum Para você fazer, vamos dizer, A criação do relatório, sim.

34:46 - felipe silva A criação do relatório, a gente pode ter problema, a gente pode ter entradas aí em termos de acurácia, né? Mas eu acredito que, à medida que o tempo for avançando e as tecnologias forem avançando também, isso naturalmente tende a diminuir com o tempo, entendeu? A questão de alucinação, tudo porque, cara, querendo ou não, a tecnologia vai continuar avançando, vai continuar evoluindo, o negócio não vai ficar estagnado.

35:12 - Marcelo Nissenbaum Não, perfeito. Mas é porque a minha pergunta é essa, porque a preocupação grande, eu sei que o Lázaro tem essa preocupação, porque eu e ele, a gente nesse sentido é muito cartesiano em relação aos analitos do sangue. Porque quando a gente pega esses parâmetros hematológicos e bioquímicos e a gente de repente foge um pouquinho, cara, sempre vai ter um doutor bioquímico conhecido com alguma coisa ou alguém para conseguir ver algum erro, alguma coisa, e sempre socar o outro lado. Então, por isso que eu estou perguntando, entendeu? Porque o ideal é que a gente não tenha essas fugas, vamos dizer assim. Então, é só a única preocupação da LLM, porque, na verdade, pelo que eu entendi, o chá semântica puxa perfeitamente, mas fazer esse filtro para transformar em relatório já é uma outra coisinha.

36:07 - AP Mas que filtro? Sério, para fazer relatório, não entendi.

36:10 - Marcelo Nissenbaum Porque, olha só, o Lázaro, quando ele tiver a planilha dele, vamos dizer que ele tenha 100 exames, a gente pode ter outros exames que não vão estar ali. Vai ler e vai puxar isso de algum banco, de alguma informação.

36:24 - felipe silva Ou vai ser da do Lázaro ou vai ser do próprio conhecimento dele específico que a gente vai determinar por meio de...

36:31 - AP Ou então uma integração com a API lá, de negócios de exames lá, o Lázaro no tempo Então assim, cara, depois que a informação está armazenada, Marcelo, é o que menos interessa. É verdade, eu não vou bater a cabeça nisso, mas eu concordo que eu acho que a gente vai conseguir sanar isso, é verdade. Exatamente, porque assim, a gente está pensando em MVP, então para MVP é isso que a gente precisa, a gente precisa ler o PDF. Armazenou a informação, consigo dar um match com o Lázaro? Cara, o trabalho de MVP é esse. A informação precisa estar armazenada. Depois eu penso como eu vou relacionar, eu posso depois ter uma integração com a outra API americana que faz não sei o que, isso é o que menos interessa. A informação está armazenada e tudo é via API. Acabou. Como se fosse já estar encapsulado no que já estáfelipe desenvolvido. Então não é problema realmente. E obviamente que eu concordo com o Filipe. Para a gente talvez evoluir para o segundo passo a gente precisa ter mais detalhes. Mocap, desenho. Ele vai ter conhecimento para entender como é que vai ser a arquitetura, perfil de usuário.

37:31 - Marcelo Nissenbaum Eu vou estar mais envolvido no negócio. Exatamente.

37:34 - Marcelo Nissenbaum Exatamente. Que vai voltar muito mais lá na frente e eu queria entender um pouquinho uma felipe Não faço ideia de valores, ordem e grandeza, mas a gente tem dois caminhos aqui, Filipe, que obviamente, um é buscar investidor, mas não é fácil, só aparece. Não, não, eu sei, eu tenho pleno conhecimento disso. Outra, aí eu vou até perguntar, o Miro tá aqui na minha frente, vou falar com ele também, depois eu vou falar com o Lázaro, é a gente ter um sócio tecnológico. Não sei o quanto você gostaria de participar de um projeto desse e a gente ter alguma coisa juntos, mas nada impede também da gente também despender um pouco financeiramente também para desenvolver tudo, não 100% você precisa de repente...

38:20 - felipe silva Cara, ó, já se respondendo muito certeiro com você, eu achei o projeto muito bacana, muito legal, eu acho que a possibilidade de uma parceria como essa num no segundo momento, saindo da fase de MVP para uma parte mais de arquitetura, mais pesado, produção. Havendo todo esse entrosamento relacionado à própria estratégia de negócio e tudo mais. Inclusive, esse tempo para o desenvolvimento e lançamento do MVP é como se fosse uma fase de namoro. Até para vocês verem... Até para vocês poderem ver a agilidade, ver o meu trabalho. Puts, o Felipe realmente é um cara que entrega, um cara que funciona. Vale a pena realmente a gente oferecer essa parceria. Então, realmente, eu tenho, sem dúvida, nenhum interesse lá na frente.

39:06 - Marcelo Nissenbaum E eu vou falar uma palavra muito difícil aqui, que é o seguinte, eu sei que para ter investidor, o ideal é a gente tracionar, fazer dinheiro. Se a gente estiver fazendo, aí eu vou dizer que é muito mais fácil conseguir um investidor. É só pegar o MVP e botar, rodeia, funciona. Mas o cara, e aí, está fazendo dinheiro? Não. Ah, então não quero não.

39:31 - Palestrante Não Identificado É.

39:31 - felipe silva É assim. A realidade é essa. É verdade. Você está 100% certo. Você tem que ter ali um entregável já para mostrar para o cara e dizer, putz, meu, a gente tem uma base... Se você chegar para o investidor e dizer o seguinte, a gente está no MVP, mas para esse MVP a gente já tem uma base de usuário, o ativo, que está testando a aplicação junto com a gente, de, sei lá, pelo menos umas 1.000 pessoas, o cara já olha de frente, o cara tem uma base de usuário de 1.000 pessoas usando o MVP, tem alguma coisa aqui, deixa eu prestar um pouquinho mais de atenção.

40:08 - Marcelo Nissenbaum Isso que eu ia falar, essa captura desses 1.000 clientes nesse evento do Lázaro é altamente qualificado para a gente vender. Isso já é uma coisa fantástica, porque eu nem imaginava que o Lázaro tinha uma palestra para 1.000 pessoas. Cara, isso não é uma brincadeira. Pô, botar isso pra mil pessoas no MVP, pra mim, cara, eu tô sonhando.

40:30 - AP E outra coisa, né, é claro, a gente tá pensando em MVP, sendo que já tem alguns features, Felipe, que o próprio Lázaro, no início do projeto, quando a gente tava meio que idealizando, ele já foi vendo, por exemplo, talvez fechar alguma parceria com um negócio de assinatura, enfim, você vai montando várias coisas, porque às vezes você tem um público de um atleta ali, tipo, sozinho, Marcelo, por exemplo, que é atleta, ele fala.

40:54 - Marcelo Nissenbaum Deixa eu explicar isso até essa parte, Felipe. Eu fui atleta a vida toda do Flamengo, fui da Seleção Brasileira de Remo e fui do triatlon. Eu estou próximo das confederações brasileiras de triatlon, de todos. Então, assim, não é promessa de venda, mas a facilidade que eu tenho em entrar no mercado, por exemplo, a federação de vôlei do Rio de Janeiro. A esposa do meu marido tá lá, a Ana Richa. Então, assim, eu tô muito próximo dessa linhagem, vamos dizer, do esporte. Eu tô dentro do Flamengo. Eu converso com o head coach do Flamengo. Entendeu? Por exemplo, você sabe quem é o Bruno Spindle?

41:37 - Palestrante Não Identificado Já ouvi falar, sim. Meu padrinho de casamento. Olha. Legal, é isso aí, pô.

41:42 - Marcelo Nissenbaum Entendeu? Promessa? Não. Não é promessa nenhuma, mas...

41:46 - Palestrante Não Identificado Mas existe uma facilidade, né, de... Isso eu tenho.

41:49 - Marcelo Nissenbaum Esse método foi muito interessante, porque o Miro é da área de tecnologia, o Lázaro tem isso dentro dele, essa linha de 30 anos quase fazendo pesquisa, e eu... Perfeito.

42:02 - felipe silva Eu acho que a gente está no caminho certo, viu, Marcelo? Eu acho que a gente está no caminho certo de desenvolver esse MVP, de ver ele funcionando dia a dia, profissionalidades, testes e por aí vai. Isso, unido a isso, o nosso próprio entrosamento como equipe, eu na parte de desenvolvimento, vocês também aí na parte de desenvolvimento, estratégia, gestão, tudo isso aí vai mostrar pra gente se o nosso time realmente deu liga, vai conseguir escalar esse MVP pra um outro patamar, onde você ali, com os seus contatos, de repente vai ter uma penetração, vai ter uma entrada, boa para a divulgação da aplicação, do aplicativo, cara, e aí a gente consegue atingir o nosso objetivo, é que ter bastante clientes, conseguir vender.

42:54 - Marcelo Nissenbaum Para mim, esses mil, isso aí, para mim, sai de uma inércia absurda, porque um teste com mil pessoas, não é um teste com cinco, com dez profissionais.

43:07 - AP Pois é. E a gente já tem também uns concorrentes. Essa ideia do lazo, não sei se ele chegou a comentar lá atrás.

43:15 - Palestrante Não Identificado E outra, se tem concorrente, significa que...

43:17 - AP Exatamente. Dá pra fazer, pô. Exatamente. Então, assim, inclusive foi um aluno dele de uma coisa que ele fez num pós-doutorado, alguma coisa que o cara meio que saiu... A verdade roubou dele. Roubou a ideia dele, entendeu? Então, assim, a ideia é a gente agora construir algo que seja mais... E, cara, é muito simples o aplicativo lá. A gente fez o teste, eu, o Marcelo, a gente no tempo... É bem basicão. É bem basicão. É como se o desenho que a gente está querendo fazer no MVP sendo que fazendo em tela de aplicativo. O cara já foi já deu um passo adiante obviamente. Mas assim não é nada demais e claro que o Lazaro tem toda a expertise a experiência dele. Ele é um cara muito conceituado no mercado. Então assim cara basicamente roubaram a ideia dele e criaram um aplicativo fizeram o que ele queria fazer. O que ele idealizou. Exatamente o que ele idealizou. Então a nossa ideia agora que se ele foi o O cara que idealizou isso, a gente tem muito mais condições de implementar com muito mais coisas do que o concorrente.

44:15 - felipe silva Ele está com a gente. Exatamente. Ele vai conseguir manter a gente no trilho, vamos dizer assim, para aquilo que ele realmente sabe que é o que funciona, que é o que vai dar certo.

44:28 - AP Maravilha. Perfeito, perfeito. Cara, então assim, beleza. Eu acho que era isso, Felipe.

44:33 - felipe silva Em termos de valores, eu tentei enxugar o máximo possível. Horas e tudo mais para realmente a gente conseguir fechar essa parceria. Como eu falei para vocês, eu trabalho com uma equipe aqui em chuta, tem um desenvolvedor que trabalha. Eu fico mais focado na parte estratégica aqui do meu negócio. De vez em quando eu coloco a mão no código e tudo mais, mas normalmente eu desenvolvo toda a parte de arquitetura técnica, repasso isso para o meu dev, para o meu desenvolvedor para ele poder executar e vou acompanhando, vou dando as diretrizes para ele e tudo mais. Mas basicamente é assim. Então, como eu tenho esse custo adicional operacional, por isso que eu preciso cobrar esse MVP um pouco, a fase 2 desse MVP, entendeu? Mas eu tentei chegar num valor que não fosse astronômico, nada fora do que é mercado também, sabe, em termos de MVP, para a gente poder fechar. Então, em relação a custo, preço, está dentro? Funciona para vocês?

45:33 - AP Acho que sim. Eu não sei se o Marcelo chegou a comentar com... Eu não sei se aquele menino viu o Lázaro, mas a gente vai trocar uma ideia com ele e a gente vai conversar com ele. A gente vai te dar um retorno, obviamente, com isso. Perfeito. E, cara, a gente fechando, aí é isso. Vai desenvolvimento. Eu vi ali o detalhamento da proposta e, cara, aí a gente vai acabar se envolvendo mais para detalhar o que passar. O Lázaro está com a planilha atualizada. Falar para a gente, então a gente teria que passar. Ele falou também que ia dar um tapa nas plantilhas. É, vai dar um tapa lá. Melhorar, perfeito. Muito legal. A gente vai armazenar a última versão e as futuras versões. A gente vai fazer direto no banco, então cria uma nova versão lá. Então a gente vai ter tudo ali armazenado. E detalhar muito essa questão dos exames. Eu tenho um planilha gigante, com todo o detalhamento que eu fiz lá atrás com o Marcelo. Vai ser um momento também, de repente, de enviar para ficar no detalhe aí, porque realmente é muito tipo de exame. A gente tinha mais de 1.000 lá quando o Marcelo fez, quase 1.947, 1.987, sei lá. Então, assim, é muito detalhe. E, obviamente, a gente vai, à medida que for realizando as etapas, a cada sprint... A cada sprint? É, aí a gente vai testando, vai analisando, muda isso aqui, faz assim, faz assado. E, obviamente, vai testando, vai fazendo tudo isso junto. Vai aprimorando.

46:55 - felipe silva É, é um trabalho que a gente vai fazer junto, com certeza.

46:58 - AP Perfeito, perfeito, cara. Cara, eu acho que é isso, acho que as dúvidas que eu tinha, né, acho que já foram bem explicadas aqui e sanadas. Então, show de bola, Felipe. Mais uma vez, obrigado pela disponibilidade. Desculpa ter que mudar, mas...

47:12 - felipe silva Não, imagina, imagina, pessoal. Eu acho que é isso aí. Se a gente pretende ter uma parceria de longo prazo, a gente tem que estar junto.

47:20 - AP Perfeito. Maravilha. Maravilha, então. Vamos falar lá com o Lázaro. Isso, a gente vai marcar uma reunião. Eu não consigo mais, me enrolei aqui. Enfim, amanhã ou depois a gente tenta marcar ainda uma reunião entre eu, o Marcelo e o Lázaro, para a gente dar um retorno enquanto antes disso aí.

47:37 - Palestrante Não Identificado Tá bom. Obrigado, pessoal. Obrigado mesmo. Fico no aguardo.

47:39 - AP Fechado. Felipe, brigadão. Tá bom. Valeu. Valeu, monstro. Um abraço. Tchau, tchau.
